date,open,close,high,low,volume
29-Dec-10,6005.15,6060.35,6067.55,6002.85,95364.01
30-Dec-10,6062.35,6101.85,6106.4,6062.35,152794.66
31-Dec-10,6105.1,6134.5,6147.3,6103.55,115259.17
03-Jan-11,6177.45,6157.6,6178.55,6147.2,107387.73
04-Jan-11,6172.75,6146.35,6181.05,6124.4,143747.25
05-Jan-11,6141.35,6079.8,6141.35,6062.35,130875.22
06-Jan-11,6107,6048.25,6116.15,6022.3,134786.18
07-Jan-11,6030.9,5904.6,6051.2,5883.6,143578.34
10-Jan-11,5901.3,5762.85,5907.25,5740.95,135795.21
11-Jan-11,5767.95,5754.1,5842.6,5698.2,143034.77
12-Jan-11,5800.05,5863.25,5874.2,5711.3,153338.1
13-Jan-11,5850.75,5751.9,5857.75,5736.7,141542.18
14-Jan-11,5752.1,5654.55,5833.65,5639.65,127444.85
17-Jan-11,5648.8,5654.75,5696.15,5624.15,113608.92
18-Jan-11,5682.55,5724.05,5730.5,5671.25,114033.27
19-Jan-11,5737.35,5691.05,5747.65,5662.55,131326.27
20-Jan-11,5656,5711.6,5729.45,5634.5,133468.88
21-Jan-11,5692.05,5696.5,5717.55,5674.5,115994.15
24-Jan-11,5717.1,5743.25,5756,5697.75,115480.27
25-Jan-11,5763.3,5687.4,5801.55,5680.65,130644.5
27-Jan-11,5725.3,5604.3,5726.1,5594.95,164521.04
28-Jan-11,5614,5512.15,5614.4,5459.55,150484.6
31-Jan-11,5452.55,5505.9,5526.85,5416.65,142226.31
01-Feb-11,5537.3,5417.2,5539.15,5402,136969.93
02-Feb-11,5469.55,5432,5490.6,5415.65,135002.68
03-Feb-11,5430.45,5526.75,5532.65,5418,116957.27
04-Feb-11,5519.9,5395.75,5556.3,5369.05,135697.2
07-Feb-11,5430.15,5396,5440.35,5376.95,107772.54
08-Feb-11,5432.35,5312.55,5432.35,5303.4,120787.08
09-Feb-11,5293.05,5253.55,5339.45,5225.65,158037.55
10-Feb-11,5246.05,5225.8,5272.6,5196.8,148366.37
11-Feb-11,5219.65,5310,5319.45,5177.7,137768.16
14-Feb-11,5340.25,5456,5463.8,5340.25,128984.45
15-Feb-11,5467.75,5481,5506.5,5408.35,134883.53
16-Feb-11,5467.6,5481.7,5504.8,5460.35,109017
17-Feb-11,5501.7,5546.45,5553,5463.4,117902.59
18-Feb-11,5557.55,5458.95,5599.25,5441.95,141618.92
21-Feb-11,5456.6,5518.6,5526.25,5413.1,108340.26
22-Feb-11,5504.4,5469.2,5519.45,5437.3,123668.19
23-Feb-11,5452.45,5437.35,5495.2,5427.55,119795.29
24-Feb-11,5408.75,5262.7,5423.4,5242.5,183050.21
25-Feb-11,5321.05,5303.55,5338.2,5232.75,135022.83
28-Feb-11,5330.15,5333.25,5477,5308.6,165395.42
01-Mar-11,5382,5522.3,5533.05,5373.55,133000.42
03-Mar-11,5478.45,5536.2,5570.75,5468.25,149903.71
04-Mar-11,5586.2,5538.75,5608.2,5524.1,117126.46
07-Mar-11,5490.05,5463.15,5491.25,5408.45,95147.73
08-Mar-11,5466.1,5520.8,5530.55,5464.75,99593.88
09-Mar-11,5542.4,5531,5563.3,5477.45,115141.63
10-Mar-11,5516.1,5494.4,5516.3,5468.45,95453.99
11-Mar-11,5456.15,5445.45,5502.7,5411.55,111623.23
14-Mar-11,5436.5,5531.5,5537.3,5434.25,96337.2
15-Mar-11,5420,5449.65,5497.85,5373.65,129426.89
16-Mar-11,5475.95,5511.15,5535.1,5475.95,113623.48
17-Mar-11,5455.4,5446.65,5510.05,5435.3,110612.69
18-Mar-11,5475.35,5373.7,5483.05,5366.4,106071.31
21-Mar-11,5408.75,5364.75,5413.3,5348.2,82908.93
22-Mar-11,5390.85,5413.85,5428.15,5376.15,86606.62
23-Mar-11,5411.4,5480.25,5484.95,5401.95,111777.89
24-Mar-11,5501.8,5522.4,5529,5496.1,106851.97
25-Mar-11,5588.65,5654.25,5667.1,5560.95,121048.53
28-Mar-11,5645.25,5687.25,5709.1,5643.2,124212.53
29-Mar-11,5686.5,5736.35,5770.35,5680.7,133371.52
30-Mar-11,5755.8,5787.65,5803.15,5753.9,123905.22
31-Mar-11,5803.05,5833.75,5872,5778.65,193373.16
01-Apr-11,5835,5826.05,5860.2,5810.4,116914.53
04-Apr-11,5842,5908.45,5918.7,5833.2,119185.11
05-Apr-11,5923.85,5910.05,5928.65,5855.85,130894.21
06-Apr-11,5908,5891.75,5944.45,5868.8,146001.42
07-Apr-11,5888.55,5885.7,5906.1,5866.25,125477.76
08-Apr-11,5886.75,5842,5926.95,5822,126539.39
11-Apr-11,5805.35,5785.7,5830.3,5777.9,98155.04
13-Apr-11,5747.95,5911.5,5923.6,5735.55,130240.01
15-Apr-11,5898.75,5824.55,5907.35,5806.45,151274.54
18-Apr-11,5824.35,5729.1,5897.9,5722.25,135842.02
19-Apr-11,5716,5740.75,5762.95,5693.25,108267.36
20-Apr-11,5786.05,5851.65,5857.35,5759.65,130081.34
